source_id,title,url,type,license_or_status,use_in_project,patent_relevance
figshare_29228990,"Predicting CO2 Solubility in Diverse Ionic Liquids: A Data-Driven Approach Using Machine Learning Algorithms","https://figshare.com/articles/dataset/Predicting_CO_sub_2_sub_Solubility_in_Diverse_Ionic_Liquids_A_Data-Driven_Approach_Using_Machine_Learning_Algorithms/29228990",dataset,"CC BY-NC 4.0","Primary public experimental dataset candidate","Large IL CO2 solubility dataset; non-commercial license means research use is OK but commercial patent examples need counsel review."
zenodo_3251643,"Ionic liquid Properties","https://zenodo.org/records/3251643",dataset,"CC BY 4.0","Primary explicit-target benchmark dataset","Contains CO2 capacity data with temperature, pressure, xCO2, cation/anion codes, and ion SMILES; best current public evidence dataset."
science_direct_2020_gc,"Prediction of CO2 solubility in ionic liquids using machine learning methods","https://www.sciencedirect.com/science/article/pii/S0009250920302840",paper,"Publisher terms","Prior-art comparison","Shows CO2 solubility ML on 10116 data points, so generic ML prediction is not enough."
scientific_reports_2024_dl,"Prediction of CO2 solubility in Ionic liquids for CO2 capture using deep learning models","https://www.nature.com/articles/s41598-024-65499-y",paper,"Open access article","Prior-art comparison","Deep learning for IL CO2 solubility; reinforces need for a decision-system claim."
est_letters_2024_uq,"Screening Environmentally Benign Ionic Liquids for CO2 Absorption Using Representation Uncertainty-Based Machine Learning","https://pubmed.ncbi.nlm.nih.gov/39554598/",paper,"Publisher terms","Prior-art comparison","Close prior art for uncertainty-based IL screening."
cpsign_2024,"CPSign: conformal prediction for cheminformatics modeling","https://link.springer.com/article/10.1186/s13321-024-00870-9",paper,"Open access article","Method reference","Supports conformal prediction as valid interval machinery in cheminformatics."
aramco_dac_2025,"Aramco launches Saudi Arabia's first CO2 Direct Air Capture test unit","https://www.aramco.com/en/news-media/news/2025/saudi-aramco-launches-the-first-direct-air-capture-and-carbon-dioxide",industry_source,"Public webpage","Saudi industrial context","Saudi climate/material-testing fit for a local operating-window angle."
aramco_ccus,"Carbon capture, utilization, and storage (CCUS)","https://www.aramco.com/en/making-a-difference/planet/carbon-capture-utilization-and-storage",industry_source,"Public webpage","Saudi industrial context","Shows Jubail CCS hub context and CO2 capture relevance in the Kingdom."
wipo_saudi_patent_law,"Saudi patent law via WIPO Lex","https://www.wipo.int/wipolex/en/legislation/details/3596",law_reference,"Public legal text","Patentability guardrails","Novelty, inventive step, industrial applicability; mathematical methods excluded."
wo2024187266a1,"Amine-based carbon capture solvent degradation monitoring","https://patents.google.com/patent/WO2024187266A1/en",patent_publication,"Public patent publication","Prior-art comparison","Machine-learned carbon-capture solvent monitoring; avoid plant-operation monitoring claims unless distinct."
cn116230115b,"Phase change absorbent screening method based on machine learning and quantum chemistry calculation","https://patents.google.com/patent/CN116230115B/en",patent_publication,"Public patent publication","Prior-art comparison","Close ML solvent-screening patent; our claim needs confidence gating, operating-window decision output, and leakage-safe public-data evidence."
